,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,arrive_time,estimate_meal_prepare_time,order_push_time,platform_order_time
0,20221017,0,0,0,0,0,1,1665937978,0,0,174579111,45862631,174600135,45852786,0,0,1665936258,0,0,0,1665936779,1665936000,1665935996
1,20221017,1,1,1,1,1,1,1665937864,0,1,174529930,45905850,174522983,45898250,174530062,45906005,1665936734,1665936737,1665937344,1665937798,1665936845,1665936006,1665935995
2,20221017,2,2,2,2,1,0,1665939504,0,2,174532407,45861460,174547033,45891243,174548244,45870923,1665937484,1665937501,1665938346,1665939384,1665938007,1665937107,1665937097
3,20221017,3,3,3,0,1,0,1665939432,0,3,174559718,45868015,174595327,45886787,174560199,45867948,1665937394,1665937397,1665937830,1665939822,1665937634,1665937369,1665937028
4,20221017,4,4,4,0,1,0,1665938894,0,3,174559718,45868015,174534558,45867411,174554896,45865167,1665937394,1665937413,1665937710,1665938262,1665937694,1665937373,1665937092
5,20221017,5,5,5,3,1,0,1665940500,0,4,174542688,45920329,174530185,45921310,174526338,45912309,1665938727,1665938741,1665940061,1665940496,1665939225,1665938403,1665938399
6,20221017,6,6,6,2,1,0,1665943672,0,5,174557054,45865154,174579676,45878207,174561783,45868495,1665941954,1665941993,1665942156,1665942859,1665942172,1665941872,1665941566
7,20221017,7,7,7,2,1,0,1665944770,0,5,174557054,45865154,174530470,45884833,174557275,45876124,1665942674,1665942684,1665943165,1665944308,1665942970,1665942670,1665942362
8,20221017,8,8,8,4,0,0,1665970200,1,6,174617410,45851726,174621022,45835245,0,0,1665966555,0,0,0,1665945737,1665944915,1665944899
9,20221017,9,9,9,5,1,0,1665948557,0,7,174554756,45896200,174560681,45888878,174555549,45896141,1665946604,1665946623,1665946951,1665947591,1665947117,1665946517,1665946511
10,20221017,10,10,10,0,1,0,1665949928,0,8,174575309,45857403,174578498,45853516,174572714,45860220,1665948254,1665948263,1665948809,1665949058,1665949091,1665948132,1665948120
11,20221017,11,11,11,0,1,0,1665957504,0,9,174580270,45871064,174565679,45867795,174582161,45867402,1665955724,1665955749,1665956326,1665956731,1665956305,1665955705,1665955685
12,20221017,12,12,12,6,1,0,1665960892,0,10,174941150,46042359,174939278,46044014,174944483,46052374,1665959097,1665959106,1665960550,1665960788,1665959933,1665959093,1665959082
13,20221017,13,13,13,7,1,0,1665978000,1,11,174551377,45851052,174562028,45859803,174552394,45851018,1665975406,1665975418,1665976093,1665977540,1665959867,1665959268,1665936351
14,20221017,14,14,14,4,1,0,1665961500,0,12,174589615,45855502,174584136,45853337,174593374,45862036,1665959654,1665959670,1665960708,1665961359,1665959523,1665959523,1665959519
15,20221017,15,15,15,8,1,0,1665963756,0,13,174588776,45897526,174565749,45901946,174587635,45891618,1665961910,1665961920,1665962458,1665963643,1665962317,1665961357,1665961355
16,20221017,16,16,16,9,1,0,1665964916,0,14,174648139,45875400,174633617,45879276,174648454,45877259,1665963200,1665963207,1665964119,1665965027,1665964376,1665963056,1665963041
17,20221017,17,17,16,9,1,0,1665964887,0,14,174648139,45875400,174648534,45874279,174650754,45880934,1665963410,1665963426,1665964117,1665964289,1665964288,1665963090,1665963080
18,20221017,18,18,17,5,1,0,1665975600,1,15,174565946,45898786,174588979,45915543,174566468,45896579,1665972795,1665972800,1665973210,1665974729,1665964089,1665963249,1665963238
19,20221017,19,19,18,10,1,0,1665965425,0,16,174593467,45861771,174584575,45855753,174600369,45861755,1665963734,1665963747,1665964487,1665965160,1665964467,1665963628,1665963612
20,20221017,20,20,19,11,1,0,1665965924,0,17,174546350,45890990,174529157,45881443,174535750,45894073,1665963974,1665963985,1665964547,1665965296,1665964787,1665963948,1665963936
21,20221017,21,21,20,7,1,0,1665966270,0,18,174579361,45877788,174590362,45877455,174582938,45879603,1665964490,1665964498,1665964616,1665965001,1665964951,1665964471,1665964469
